IP,MAC,VENDOR
192.168.100.1,10:07:1d:ab:72:38,"Fiberhome Telecommunication Technologies Co.,LTD"
192.168.100.2,a4:22:49:08:d4:fc,Sagemcom Broadband SAS
192.168.100.3,a4:22:49:0f:69:3b,Unknown
192.168.100.4,a4:22:49:0f:61:5c,Unknown
192.168.100.1,10:07:1d:ab:72:38,"Fiberhome Telecommunication Technologies Co.,LTD"
192.168.100.2,a4:22:49:08:d4:fc,Sagemcom Broadband SAS
192.168.100.3,a4:22:49:0f:69:3b,Unknown
192.168.100.4,a4:22:49:0f:61:5c,Unknown
192.168.100.12,44:90:bb:04:e4:db,Unknown
192.168.100.5,b8:bc:5b:e5:72:61,Unknown
192.168.100.6,20:fe:00:bc:0f:61,Amazon Technologies Inc.
192.168.100.1,10:07:1d:ab:72:38,"Fiberhome Telecommunication Technologies Co.,LTD"
192.168.100.2,a4:22:49:08:d4:fc,Unknown
192.168.100.3,a4:22:49:0f:69:3b,Unknown
192.168.100.4,a4:22:49:0f:61:5c,Sagemcom Broadband SAS
192.168.100.12,44:90:bb:04:e4:db,Unknown
192.168.100.6,20:fe:00:bc:0f:61,Unknown
192.168.100.7,f2:dc:da:2e:30:61,Unknown
